,26,4/15/11,Nunnery,30865,151.559,152.102,2,Plank; 5 mi E of King,17 S 0660183 3880888,17 S 0659618 3880708,,15,1.2 XT; 0.8 K,A,4+,95,
,27,4/24/11,Lashley,30858,151.118,152.342,1.75-2.0,King; FB 4 close to Plank,17 S 0652092 3880262,17 S 0652026 3880107,0.1 mi,31,1.1 XT; 0.9 K,A,5+,100,
,28,4/26/11,Young,30870,151.800,152.602,1.0-2.0,Manchester; 200 yds E of Holland DZ near FB 30,17 S 0656419 3893596,17 S 0656276 3893647,499 ft,9,1.1 XT; 0.9 K,SA,2,90,
No tracking,32,5/2/11,Sherrill,30867,151.669,152.191,1.25,V11,17 S 0662498 3894104,17 S 0662451 3894013,,21,1.1 XT; 0.9 K,A,4+,95+,
No tracking,30,5/9/11,Nunnery,30869,151.749,152.002,1,V11,17 S 0662506 3894109,17 S 0662425 3893913,0.13 mi,N/A,">/= 1.1 XT, remainder K",A,3+,105,
,35,5/9/11,Lashley,30860,151.157,152.403,0,NN1,17 S 0660538 3890268,17 S 0660523 3890070,0.13 mi,40,1.1 XT; 0.9 K,A,3,95,
,31,5/10/11,Lashley,30873,151.898,152.262,1.25,N24,17 S 0672029 3891235,17 S 0672228 3890956,0.21 mi,11,1.1 XT; 0.9 K,A,3,90,
,36,5/16/11,Lashley,30854,151.039,152.162,2,N32,,17 S 0672152 3890527,,81,1.7 XT,A,4+,100,
,38,5/25/11,Lashley,30824,151.058,152.282,1,SW corner of Salerno DZ,,,,30,1.5 XT,A,3+,95,deer stayed in DZ; moved to woods to avoid military activity associated with drop; no GPS points taken
,42,5/29/11,Lashley,30863,151.459,152.420,2,East X area; between FB 5 and FB 6,17 S 0661696 3895650,17 S 0661805 3895350,,,1.5 XT,A,5+,90,left deer after reversal
,39,6/6/11,Lashley,30871,151.831,N/A,N/A,Bridge below first Ranger loop entrance,17 S 0663856 3895085,17 S 0663808 3895021,0.05 mi,,1.5 XT,A,6+,80,muscles striated; ribs showing; appeared to be in poor condition
No tracking,40,6/10/11,Lashley,30823,151.019,N/A,N/A,up the hill W of McArthur Lake,,,,20,,A,3+,80,
,44,6/16/11,Lashley,30855,151.079,N/A,N/A,W of Holland DZ; midway down,,,,12,,SA,2,80,
,41,6/30/11,Lashley,30868,151.708,N/A,N/A,Drain just W of Holland DZ; NW corner,,,,,1 XT; 1 K,J,1,65-70,
,43,7/1/11,Lashley,30866,151.601,N/A,N/A,King; S of FB 13 on E side,17 S 0651474 3881663,17 S 0651602 3881802,0.12 mi,18,,A,5+,95,
No tracking,48,7/3/11,Lashley,30861,151.230,N/A,N/A,King; between FB 3 and FB 4,17 S 0651281 3889705,17 S 0651096 3889653,0.12 mi,31,,A,6+,105,


,,,,ON website,,,,,,,,,,,,,
